cluster16,category,culture,economy,entertain,international,it,politics,society,sport
0,politics,0,0,0,0,0,1,0,0
1,culture,7,0,0,0,0,0,0,0
1,economy,0,27,0,0,0,0,0,0
1,entertain,0,0,5,0,0,0,0,0
1,international,0,0,0,1,0,0,0,0
1,it,0,0,0,0,4,0,0,0
1,politics,0,0,0,0,0,19,0,0
1,society,0,0,0,0,0,0,46,0
1,sport,0,0,0,0,0,0,0,5
2,entertain,0,0,1,0,0,0,0,0
2,international,0,0,0,4,0,0,0,0
2,society,0,0,0,0,0,0,1,0
2,sport,0,0,0,0,0,0,0,63
3,economy,0,1,0,0,0,0,0,0
3,entertain,0,0,5,0,0,0,0,0
3,politics,0,0,0,0,0,5,0,0
3,society,0,0,0,0,0,0,51,0
3,sport,0,0,0,0,0,0,0,3
4,economy,0,6,0,0,0,0,0,0
4,international,0,0,0,21,0,0,0,0
4,it,0,0,0,0,1,0,0,0
4,politics,0,0,0,0,0,1,0,0
4,society,0,0,0,0,0,0,50,0
4,sport,0,0,0,0,0,0,0,3
5,economy,0,3,0,0,0,0,0,0
5,entertain,0,0,3,0,0,0,0,0
5,international,0,0,0,1,0,0,0,0
5,politics,0,0,0,0,0,10,0,0
5,society,0,0,0,0,0,0,5,0
5,sport,0,0,0,0,0,0,0,2
6,culture,1,0,0,0,0,0,0,0
6,economy,0,2,0,0,0,0,0,0
6,entertain,0,0,8,0,0,0,0,0
6,it,0,0,0,0,2,0,0,0
6,politics,0,0,0,0,0,8,0,0
6,society,0,0,0,0,0,0,8,0
7,economy,0,1,0,0,0,0,0,0
7,international,0,0,0,35,0,0,0,0
7,politics,0,0,0,0,0,2,0,0
8,economy,0,1,0,0,0,0,0,0
8,international,0,0,0,17,0,0,0,0
8,politics,0,0,0,0,0,3,0,0
8,society,0,0,0,0,0,0,19,0
9,economy,0,1,0,0,0,0,0,0
9,international,0,0,0,10,0,0,0,0
9,politics,0,0,0,0,0,28,0,0
9,society,0,0,0,0,0,0,1,0
9,sport,0,0,0,0,0,0,0,1
10,culture,1,0,0,0,0,0,0,0
10,international,0,0,0,3,0,0,0,0
10,politics,0,0,0,0,0,27,0,0
10,society,0,0,0,0,0,0,2,0
11,culture,1,0,0,0,0,0,0,0
11,economy,0,3,0,0,0,0,0,0
11,entertain,0,0,4,0,0,0,0,0
11,politics,0,0,0,0,0,2,0,0
11,society,0,0,0,0,0,0,9,0
11,sport,0,0,0,0,0,0,0,21
12,culture,2,0,0,0,0,0,0,0
12,economy,0,3,0,0,0,0,0,0
12,entertain,0,0,35,0,0,0,0,0
12,international,0,0,0,5,0,0,0,0
12,it,0,0,0,0,2,0,0,0
12,politics,0,0,0,0,0,2,0,0
12,society,0,0,0,0,0,0,28,0
12,sport,0,0,0,0,0,0,0,7
13,culture,1,0,0,0,0,0,0,0
13,economy,0,2,0,0,0,0,0,0
13,entertain,0,0,14,0,0,0,0,0
13,international,0,0,0,1,0,0,0,0
13,politics,0,0,0,0,0,49,0,0
13,society,0,0,0,0,0,0,23,0
13,sport,0,0,0,0,0,0,0,3
14,culture,2,0,0,0,0,0,0,0
14,economy,0,63,0,0,0,0,0,0
14,international,0,0,0,26,0,0,0,0
14,it,0,0,0,0,9,0,0,0
14,politics,0,0,0,0,0,13,0,0
14,society,0,0,0,0,0,0,30,0
15,economy,0,4,0,0,0,0,0,0
15,entertain,0,0,7,0,0,0,0,0
15,politics,0,0,0,0,0,4,0,0
15,society,0,0,0,0,0,0,22,0
15,sport,0,0,0,0,0,0,0,9
