cluster32,category,culture,economy,entertain,international,it,politics,society,sport
0,culture,1,0,0,0,0,0,0,0
0,economy,0,10,0,0,0,0,0,0
0,entertain,0,0,7,0,0,0,0,0
0,it,0,0,0,0,1,0,0,0
0,politics,0,0,0,0,0,9,0,0
0,society,0,0,0,0,0,0,24,0
0,sport,0,0,0,0,0,0,0,6
1,international,0,0,0,1,0,0,0,0
1,politics,0,0,0,0,0,4,0,0
1,society,0,0,0,0,0,0,4,0
2,culture,1,0,0,0,0,0,0,0
2,international,0,0,0,4,0,0,0,0
2,politics,0,0,0,0,0,15,0,0
2,society,0,0,0,0,0,0,2,0
3,economy,0,1,0,0,0,0,0,0
3,entertain,0,0,7,0,0,0,0,0
3,international,0,0,0,5,0,0,0,0
3,politics,0,0,0,0,0,32,0,0
3,society,0,0,0,0,0,0,2,0
4,culture,1,0,0,0,0,0,0,0
4,economy,0,1,0,0,0,0,0,0
4,entertain,0,0,2,0,0,0,0,0
4,international,0,0,0,1,0,0,0,0
4,politics,0,0,0,0,0,31,0,0
4,society,0,0,0,0,0,0,3,0
5,economy,0,1,0,0,0,0,0,0
5,international,0,0,0,17,0,0,0,0
5,politics,0,0,0,0,0,2,0,0
5,society,0,0,0,0,0,0,19,0
6,economy,0,2,0,0,0,0,0,0
6,entertain,0,0,4,0,0,0,0,0
6,society,0,0,0,0,0,0,2,0
6,sport,0,0,0,0,0,0,0,7
7,economy,0,15,0,0,0,0,0,0
7,international,0,0,0,4,0,0,0,0
7,it,0,0,0,0,2,0,0,0
7,politics,0,0,0,0,0,2,0,0
7,society,0,0,0,0,0,0,8,0
8,economy,0,1,0,0,0,0,0,0
8,entertain,0,0,4,0,0,0,0,0
8,international,0,0,0,1,0,0,0,0
8,politics,0,0,0,0,0,9,0,0
8,society,0,0,0,0,0,0,12,0
8,sport,0,0,0,0,0,0,0,6
9,economy,0,5,0,0,0,0,0,0
9,international,0,0,0,9,0,0,0,0
9,politics,0,0,0,0,0,17,0,0
9,society,0,0,0,0,0,0,5,0
9,sport,0,0,0,0,0,0,0,2
10,economy,0,2,0,0,0,0,0,0
10,politics,0,0,0,0,0,5,0,0
10,society,0,0,0,0,0,0,7,0
10,sport,0,0,0,0,0,0,0,3
11,entertain,0,0,3,0,0,0,0,0
11,international,0,0,0,1,0,0,0,0
11,politics,0,0,0,0,0,6,0,0
11,society,0,0,0,0,0,0,4,0
11,sport,0,0,0,0,0,0,0,3
12,entertain,0,0,1,0,0,0,0,0
12,politics,0,0,0,0,0,6,0,0
12,society,0,0,0,0,0,0,19,0
13,international,0,0,0,15,0,0,0,0
13,politics,0,0,0,0,0,4,0,0
13,society,0,0,0,0,0,0,3,0
14,economy,0,2,0,0,0,0,0,0
14,entertain,0,0,7,0,0,0,0,0
14,it,0,0,0,0,1,0,0,0
14,politics,0,0,0,0,0,6,0,0
14,society,0,0,0,0,0,0,13,0
14,sport,0,0,0,0,0,0,0,2
15,culture,8,0,0,0,0,0,0,0
15,economy,0,2,0,0,0,0,0,0
15,entertain,0,0,26,0,0,0,0,0
15,international,0,0,0,1,0,0,0,0
15,it,0,0,0,0,2,0,0,0
15,politics,0,0,0,0,0,2,0,0
15,society,0,0,0,0,0,0,6,0
15,sport,0,0,0,0,0,0,0,3
16,international,0,0,0,3,0,0,0,0
17,society,0,0,0,0,0,0,5,0
18,economy,0,20,0,0,0,0,0,0
18,international,0,0,0,2,0,0,0,0
19,economy,0,5,0,0,0,0,0,0
19,international,0,0,0,4,0,0,0,0
19,it,0,0,0,0,1,0,0,0
19,society,0,0,0,0,0,0,21,0
20,entertain,0,0,2,0,0,0,0,0
20,society,0,0,0,0,0,0,8,0
20,sport,0,0,0,0,0,0,0,3
21,economy,0,19,0,0,0,0,0,0
21,entertain,0,0,1,0,0,0,0,0
21,international,0,0,0,3,0,0,0,0
21,it,0,0,0,0,7,0,0,0
21,sport,0,0,0,0,0,0,0,3
22,international,0,0,0,30,0,0,0,0
22,politics,0,0,0,0,0,1,0,0
23,economy,0,4,0,0,0,0,0,0
23,international,0,0,0,15,0,0,0,0
23,politics,0,0,0,0,0,1,0,0
23,society,0,0,0,0,0,0,39,0
23,sport,0,0,0,0,0,0,0,2
24,entertain,0,0,5,0,0,0,0,0
24,politics,0,0,0,0,0,1,0,0
24,society,0,0,0,0,0,0,1,0
24,sport,0,0,0,0,0,0,0,1
25,entertain,0,0,3,0,0,0,0,0
25,society,0,0,0,0,0,0,24,0
25,sport,0,0,0,0,0,0,0,1
26,culture,1,0,0,0,0,0,0,0
26,entertain,0,0,1,0,0,0,0,0
26,politics,0,0,0,0,0,1,0,0
26,society,0,0,0,0,0,0,2,0
26,sport,0,0,0,0,0,0,0,13
27,international,0,0,0,2,0,0,0,0
27,society,0,0,0,0,0,0,1,0
27,sport,0,0,0,0,0,0,0,60
28,international,0,0,0,2,0,0,0,0
29,culture,3,0,0,0,0,0,0,0
29,economy,0,27,0,0,0,0,0,0
29,entertain,0,0,1,0,0,0,0,0
29,international,0,0,0,2,0,0,0,0
29,it,0,0,0,0,3,0,0,0
29,politics,0,0,0,0,0,18,0,0
29,society,0,0,0,0,0,0,42,0
29,sport,0,0,0,0,0,0,0,1
30,international,0,0,0,2,0,0,0,0
31,entertain,0,0,8,0,0,0,0,0
31,it,0,0,0,0,1,0,0,0
31,politics,0,0,0,0,0,2,0,0
31,society,0,0,0,0,0,0,19,0
31,sport,0,0,0,0,0,0,0,1
